body,title,url
"    El Vino Cariñoso, uno de los productos más representativos de la ancheta decembrina colombiana, se quedó sin una de sus distribuidoras. Esto, luego de que la Superintendencia de Sociedades, a través de la Delegatura de Procedimientos de Insolvencia, decretara la liquidación de la compañía John Restrepo A. Cía. S. A. “Dicha sociedad presentó solicitud de admisión a la Superintendencia de Sociedades en febrero, y una vez fueron presentados los requisitos formales, la Entidad procedió a aceptar la solicitud...    ", Distribuidora de Vino Cariñoso cierra sus puertas ,https://www.elcolombiano.com/negocios/empresa-distribuidora-de-vino-carinoso-sera-liquidada-AF13167575
"    España abrirá sus fronteras a los países del espacio Schengen de la UE el 21 de junio, con la excepción de Portugal. que lo hará el 1 de julio, según anunció este domingo el presidente del Gobierno español, el socialista Pedro Sánchez, quien recordó que a partir de entonces desaparecerá también la obligación de cuarentena para los viajeros.  Sánchez ofreció una rueda de prensa en la que explicó la decisión de su Ejecutivo de adelantar al próximo domingo la apertura de fronteras para los países europeos,...    ", España pone fecha a la apertura de sus fronteras tras lo peor de la pandemia  ,https://www.elcolombiano.com/internacional/espana-reabrira-sus-fronteras-el-21-de-junio-EF13169728
"    La situación de incertidumbre relativa tanto a la evolución de la covid-19 como a la forma en la que se podrá viajar una vez se levanten las restricciones impuestas por los distintos países, obligan a que compañías como Pullmantur Cruceros suspendan sus cruceros hasta el 15 de noviembre.  Todo esto en pro de la seguridad y el bienestar de sus pasajeros y miembros de su tripulación. Podría interesarle: Atrapado en un crucero al que llegó el coronavirus La compañía informó que aprovechará este período...    ", Pullmantur Cruceros suspende viajes hasta el 15 de noviembre ,https://www.elcolombiano.com/negocios/cruceros-de-pullmantur-regresaran-hasta-noviembre-NF13168500
