body,title,url
"    Ocho médicos que laboran en la misma clínica donde se desempeña el médico José Buelvas, quien recibió coronas de rosas fúnebres en la clínica y en su hogar, renunciaron por temor ante este tipo de intimidaciones.  La información se la confirmó a EL COLOMBIANO la Federación Médica Colombiana. Sobre este hecho, la vicepresidenta de la Federación, Carolina Corcho, llamó la atención para que se proteja al personal de la salud y les recomendó a los funcionarios de gobierno evitar comentarios que puedan...    ", Renuncian médicos por temor en el Atlántico ,https://www.elcolombiano.com/colombia/colegas-del-medico-buelvas-del-atlantico-renunciaron-por-temor-AH13146868
  Beneficios a contribuyentes suman $10 billones: Dian  ,,https://www.elcolombiano.com/antioquia/movilidad
"      Luego de cumplir cerca de tres meses con los cursos pedagógicos suspendidos por la pandemia, la Secretaría de Movilidad de Medellín anunció que reabre buena parte de sus trámites, pero en canales virtuales.  Así lo anunció este martes, al detallar que trámites como los cursos pedagógicos para infractores, las audiencias de tránsito, la notificación de comparendos y los trámites relacionados con el Registro Municipal estarán disponibles desde el miércoles 10 de junio: “Quienes tenían agenda asignada para marzo, abril, mayo y junio podrán ingresar a www.medellin.gov.co/movilidad, donde encontrarán un cuestionario de competencias en seguridad vial y normatividad del Código Nacional de Tránsito, que deberán realizar en línea”, indicó la entidad en un comunicado. Los cursos pedagógicos fueron suspendidos desde mediados de marzo para evitar aglomeraciones de personas dentro del contexto de la pandemia. Carlos Alberto Marín Marín, subsecretario de Seguridad Vial y Control, explicó que estos trámites no se realizaban desde el pasado 17 de marzo e indicó que el propósito es prestar un servicio a la ciudadanía con seguridad y eficacia. La Secretaría de Movilidad explicó además que los cursos aplican para los ciudadanos que recibieron comparendos pedagógicos en Medellín y que ya tenían una cita programada antes de comenzar la cuarentena.   “Se exceptúan aquellos trámites que requieran del registro de inscripción por primera vez ante el RUNT, debido a que no se cuenta todavía con la autenticación digital y/o física de los usuarios”, indicó la dependencia.    ", Secretaría de Movilidad de Medellín habilita trámites por canales virtuales  ,https://www.elcolombiano.com/antioquia/movilidad/secretaria-de-movilidad-de-medellin-habilita-tramites-por-canales-virtuales-PH13145192
"    En un mundo obstinado por la quimera del futuro post-pandemia, convencido de que la historia ya ha caducado incluso como fuente de lecciones, América Latina parece dispuesta a recurrir a fórmulas del pasado.  La receta se resume en tres letras, Fondo Monetario Internacional (FMI), ligadas durante el último medio siglo al devenir del continente. En un contexto pesimista, abocado a la crisis, Colombia recibió el aprobado a la renovación de una línea de crédito de casi 10.800 millones de dólares.  La...    "," El FMI, ¿al rescate de América Latina? ",https://www.elcolombiano.com/negocios/creditos-del-fondo-monetario-internacional-fmi-a-america-latina-para-soportar-la-pandemia-HB13121798
  La captura por robo en el Valle de Aburrá que terminó en un cerco epidemiológico ,,https://www.elcolombiano.com/colombia
"    Luego de casi seis horas de discusión este martes, tras superar las dificultades planteadas por la recusación del lunes, la Comisión Primera del Senado aprobó en séptimo debate el proyecto de acto legislativo, el cual busca modificar la constitución, para establecer la cadena perpetua en el país contra violadores y asesinos de niños.  Hacia las 10:00 de la mañana fueran rechazadas las dos solicitudes de archivo del proyecto, que eran acompañadas por senadores como Gustavo Petro, Julián Gallo, Angélica...    ", Cadena perpetua pasa a último debate en el Senado  ,https://www.elcolombiano.com/colombia/cadena-perpetua-en-colombia-paso-a-octavo-debate-en-el-senado-FH13143677
  La captura por robo en el Valle de Aburrá que terminó en un cerco epidemiológico ,,https://www.elcolombiano.com/antioquia
"    Un sueño hecho realidad, así califica Felipe Peláez su nuevo álbum Lo Mejor ¡En Vivo! que estrenó el fin de semana y que grabó el año pasado en La Macarena. Son 12 temas, en los que aparecen título tan conocidos como Borracha, Loco y Vestirte de amor, que han marcado la historia musical del artista que desde hace varios años se radicó en Antioquia, en la zona de Llanogrande. Aprovecho este tiempo de cuarentena para condicionar un espacio en su casa para montar un pequeño estudio de grabación, desde...    ", Lo mejor de Felipe Peláez es en vivo ,https://www.elcolombiano.com/cultura/musica/pipe-pelaez-estrena-su-nuevo-album-lo-mejor-en-vivo-OH13142369
"    La emergencia que atraviesa el país ha golpeado con fuerza al comercio, pero específicamente ha sido más dura con los renglones de bares, discotecas y restaurantes. En este último caso, según los datos de Acodres, en el país operan unos 90.000 restaurantes que aguardan por la reactivación y tener medidas claras para volver a operar.  Incluso, el alcalde Daniel Quintero aseguró que en el caso de Medellín ya hay protocolos y el sector está ávido de obtener el aval nacional para entrar a operar. Una de...    ", “Con los restaurantes cerrados uno no puede mantener a todo mundo trabajando”: Rausch ,https://www.elcolombiano.com/negocios/empresas/jorge-rausch-sale-al-paso-luego-de-criticas-a-medidas-del-gobierno-MH13142718
"    Este miércoles se cumplen nueve años de la Ley de Víctimas, una norma que le fijó la meta al Estado de reparar en 10 años a alrededor de 8 millones de víctimas. Uno de los elementos claves de esa reparación es la restitución, una medida que busca devolver sus tierras a las personas que tuvieron que abandonarlas o que les fueron arrebatadas a causa de los violentos. De acuerdo con la Unidad de Restitución de Tierras, en cabeza del director Andrés Augusto Castro, a la fecha se han entregado en Colombia...    "," Ley de Víctimas cumple nueve años, ¿qué ha logrado ante la restitución? ",https://www.elcolombiano.com/colombia/paz-y-derechos-humanos/ley-de-victimas-cumple-nueve-anos-y-ha-logrado-restituir-380000-hectareas-AH13146886
