body,title
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
"        Medellín, lista para reabrir restaurantes cuando Gobierno Nacional autorice   ",
